"input_names","Common_Name","Taxa","Binomial","class","order","family"
"(Pseudo)Anthias squannipinnis",NA,NA,"Pseudanthias squamipinnis","Actinopterygii","Perciformes","Serranidae"
"Acanthurus nigriona","Gold Rim Surgeon Fish",NA,"Acanthurus nigricans","Actinopterygii","Acanthuriformes","Acanthuridae"
"Acanthurus Tennenti","Vampire","Fish","Acanthurus tennentii","Actinopterygii","Acanthuriformes","Acanthuridae"
"Acanthurus Triostegius","Convict surgeon",NA,"Acanthurus triostegus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Acanthurus xanthocephalus","Purple Surgeonfish","Fish","Acanthurus xanthopterus","Actinopterygii","Acanthuriformes","Acanthuridae"
"Actinodiscus broen","Mushroom corals",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus brown","Mushroom corals",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus brown","Mushroom Corals","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus cardinalis","Metallic red mushroom",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus garden","Garden corals",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus garden","Garden Corals","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus green","Mushroom corals",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus green","Mushroom Corals","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus marmoratus","Thick striped mushroom",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus marmoratus","Thick Striped Mushroom",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus nummiferus","Mushrooms red special","Invertebrate","Discosoma nummiforme","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus striata","Fine striped mushroom","Invertebrate","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus striata","Fine Striped Mushroom",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus striatus","Fine Striped Mushroom","Invertebrate","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus striatus","Fine striped mushroom","Invertebrate","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus violet","Mushroom corals",NA,"Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Actinodiscus violet","Mushroom Corals","Coral","Discosoma","Hexacorallia","Corallimorpharia","Discosomidae"
"Africana angulata","Twinspot Wrasse","Fish","Coris aygula","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Africana formosa","Queen Coris","Fish","Coris formosa","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Alcyonium orancilunum","Orange tree coral",NA,"Alcyonium","Octocorallia","Malacalcyonacea","Alcyoniidae"
"Algae","Algae - Chaetomorpha",NA,"Chaetomorpha","Ulvophyceae","Cladophorales","Claddophoraceae"
"Allocoris gaimard","Gaimard rainbow wrasse","Fish","Coris gaimard","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Allocoris gaimard","Yellowtail wrasse",NA,"Coris gaimard","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Alpheus Sp. Red","Red cherry pistol shrimp",NA,"Alpheus","Malacostraca","Decapoda","Alpheidae"
"Amblygibius aurora","Sunburst goby","Fish","Amblyeleotris aurora","Actinopterygii","Gobiiformes","Gobiidae"
"Amblygibius aurora","Sunburst Goby","Fish","Amblyeleotris aurora","Actinopterygii","Gobiiformes","Gobiidae"
"Amblygiblus aurora","Sunburst Goby",NA,"Amblyeleotris aurora","Actinopterygii","Gobiiformes","Gobiidae"
"Amblylyphiododon leucogas","White-belly damsel","Fish","Amblyglyphidodon leucogaster","Actinopterygii","Ovalentaria incertae sedis","Pomacentridae"
"AN12 Stichodactyla haddoni","Haddon's Sea Anemone","Coral","Sttichodactyla haddoni","Hexacorallia","Actiniaria","Stichodactylidae"
"Annulus","Annulus snail","Invertebrate","Monetaria annulus","Gastropoda","Littorinimorpha","Cypraeidae"
"Anthias Squamipinnus","Wreck fish",NA,"Pseudanthias squamipinnis","Actinopterygii","Perciformes","Serranidae"
"Apistorpamma ramirezi","Angel ram",NA,"Mikrogeophagus ramirezi","Actinopterygii","Cichliformes","Cichlidae"
"Apogon speices","Cardinals",NA,"Apogon","Actinopterygii","Kurtiformes","Apogonidae"
"Argthon manilensis","Striped puffer",NA,"Arothron manilensis","Actinopterygii","Tetraodontiformes","Tetraodontidae"
"Astraea gibb","Cerith snail",NA,"Pomaulax gibberosus","Gastropoda","Trochida","Turbinidae"
"Astrea gibb","Cerith snail","Invertebrate","Pomaulax gibberosus","Gastropoda","Trochida","Turbinidae"
"Aurantidorsalis","Cirrhilabrus",NA,"Cirrhilabrus aurantidorsalis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Aurantiodorsalis","Cirrhilabrus","Fish","Cirrhilabrus aurantidorsalis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Aurantiodorsalis","Cirrhilabrus",NA,"Cirrhilabrus aurantidorsalis","Actinopterygii","Eupercaria incertae sedis","Labridae"
"B. bicolour","Bicolour wrasse",NA,"Labroides bicolor","Actinopterygii","Eupercaria incertae sedis","Labridae"
"Bennhikea fredcochvi","Blue king tetra","Fish",NA,"Actinopterygii",NA,NA
